MaxDataDiskCount    MemoryInMb    Name                    NumberOfCores    OsDiskSizeInMb    ResourceDiskSizeInMb
------------------  ------------  ----------------------  ---------------  ----------------  ----------------------
2                   512           Standard_B1ls           1                1047552           4096
2                   2048          Standard_B1ms           1                1047552           4096
2                   1024          Standard_B1s            1                1047552           4096
4                   8192          Standard_B2ms           2                1047552           16384
4                   4096          Standard_B2s            2                1047552           8192
8                   16384         Standard_B4ms           4                1047552           32768
16                  32768         Standard_B8ms           8                1047552           65536
16                  49152         Standard_B12ms          12               1047552           98304
32                  65536         Standard_B16ms          16               1047552           131072
32                  81920         Standard_B20ms          20               1047552           163840
4                   3584          Standard_D1_v2          1                1047552           51200
8                   7168          Standard_D2_v2          2                1047552           102400
16                  14336         Standard_D3_v2          4                1047552           204800
32                  28672         Standard_D4_v2          8                1047552           409600
64                  57344         Standard_D5_v2          16               1047552           819200
8                   14336         Standard_D11_v2         2                1047552           102400
16                  28672         Standard_D12_v2         4                1047552           204800
32                  57344         Standard_D13_v2         8                1047552           409600
64                  114688        Standard_D14_v2         16               1047552           819200
64                  143360        Standard_D15_v2         20               1047552           1024000
8                   7168          Standard_D2_v2_Promo    2                1047552           102400
16                  14336         Standard_D3_v2_Promo    4                1047552           204800
32                  28672         Standard_D4_v2_Promo    8                1047552           409600
64                  57344         Standard_D5_v2_Promo    16               1047552           819200
8                   14336         Standard_D11_v2_Promo   2                1047552           102400
16                  28672         Standard_D12_v2_Promo   4                1047552           204800
32                  57344         Standard_D13_v2_Promo   8                1047552           409600
64                  114688        Standard_D14_v2_Promo   16               1047552           819200
4                   2048          Standard_F1             1                1047552           16384
8                   4096          Standard_F2             2                1047552           32768
16                  8192          Standard_F4             4                1047552           65536
32                  16384         Standard_F8             8                1047552           131072
64                  32768         Standard_F16            16               1047552           262144
4                   3584          Standard_DS1_v2         1                1047552           7168
8                   7168          Standard_DS2_v2         2                1047552           14336
16                  14336         Standard_DS3_v2         4                1047552           28672
32                  28672         Standard_DS4_v2         8                1047552           57344
64                  57344         Standard_DS5_v2         16               1047552           114688
8                   14336         Standard_DS11-1_v2      2                1047552           28672
8                   14336         Standard_DS11_v2        2                1047552           28672
16                  28672         Standard_DS12-1_v2      4                1047552           57344
16                  28672         Standard_DS12-2_v2      4                1047552           57344
16                  28672         Standard_DS12_v2        4                1047552           57344
32                  57344         Standard_DS13-2_v2      8                1047552           114688
32                  57344         Standard_DS13-4_v2      8                1047552           114688
32                  57344         Standard_DS13_v2        8                1047552           114688
64                  114688        Standard_DS14-4_v2      16               1047552           229376
64                  114688        Standard_DS14-8_v2      16               1047552           229376
64                  114688        Standard_DS14_v2        16               1047552           229376
64                  143360        Standard_DS15_v2        20               1047552           286720
8                   7168          Standard_DS2_v2_Promo   2                1047552           14336
16                  14336         Standard_DS3_v2_Promo   4                1047552           28672
32                  28672         Standard_DS4_v2_Promo   8                1047552           57344
64                  57344         Standard_DS5_v2_Promo   16               1047552           114688
8                   14336         Standard_DS11_v2_Promo  2                1047552           28672
16                  28672         Standard_DS12_v2_Promo  4                1047552           57344
32                  57344         Standard_DS13_v2_Promo  8                1047552           114688
64                  114688        Standard_DS14_v2_Promo  16               1047552           229376
4                   2048          Standard_F1s            1                1047552           4096
8                   4096          Standard_F2s            2                1047552           8192
16                  8192          Standard_F4s            4                1047552           16384
32                  16384         Standard_F8s            8                1047552           32768
64                  32768         Standard_F16s           16               1047552           65536
2                   2048          Standard_A1_v2          1                1047552           10240
4                   16384         Standard_A2m_v2         2                1047552           20480
4                   4096          Standard_A2_v2          2                1047552           20480
8                   32768         Standard_A4m_v2         4                1047552           40960
8                   8192          Standard_A4_v2          4                1047552           40960
16                  65536         Standard_A8m_v2         8                1047552           81920
16                  16384         Standard_A8_v2          8                1047552           81920
4                   8192          Standard_D2_v3          2                1047552           51200
